"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"1";"Rölli ja kultainen avain";7e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2012;2012-04-05
"2";"Onnenonkija";620000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Marjo Valve";2015;2015-04-02
"3";"Viikossa aikuiseksi";730000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Marjo Valve";2014;2014-04-02
"4";"Eila, Rampe ja Likka";610000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Marjo Valve";2014;2014-04-02
"5";"VARES - SERIFFI";530000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Marjo Valve";2014;2014-04-02
"6";"NM2 (TYÖNIMI)";290000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Hannu Tuomainen";2013;2013-10-23
"7";"Elämältä kaiken sain (ent. Kotiinpaluu)";580000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Hannu Tuomainen";2013;2013-10-23
"8";"KÄTILÖ";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Hannu Tuomainen";2013;2013-10-23
"9";"LEIJONASYDÄN";750000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Kaisu Isto";2012;2012-04-05
"10";"Isänmaallinen mies";740000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Kaisu Isto";2012;2012-04-05
"11";"Kaappari (ent. Pitkäperjantai)";550000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Kaisu Isto";2011;2011-10-17
"12";"Juoppohullun päiväkirja";5e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dictator Films Oy";"Kaisu Isto";2011;2011-10-17
"13";"Vuonna 85";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Kaisu Isto";2011;2011-10-17
"14";"Risto Räppääjä ja yöhaukka";8e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2015;2015-04-02
"15";"Risto Räppääjä ja Sevillan saituri";560000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2014;2014-04-02
"16";"Lomasankarit ( ent. Seikkailu Kreikassa)";585000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Yellow Film & TV Oy";"Hannu Tuomainen";2013;2013-10-23
"17";"Ei maata näkyvissä";2e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"FremantleMedia Finland Oy";"Kaisu Isto";2012;2012-04-05
"18";"Ella ja kaverit";4e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Kaisu Isto";2011;2011-10-17
"19";"KIELLETTY HEDELMÄ";180000;"Jälkituki";"Lyhyt elokuva";"Helsinki-filmi Oy";"Niina Otva";2010;2010-03-18
"20";"Napapiirin sankarit";140000;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Niina Otva";2011;2011-06-01
"21";"NIKO - LENTÄJÄN POIKA";2e+05;"Jälkituki";"Pitkä animaatioelokuva";"Animaker Oy";"Niina Otva";2009;2009-02-05
"22";"Selänne";2e+05;"Jälkituki";"Dokumenttielokuva";"Yellow Film & TV Oy";"Niina Otva";2014;2014-09-17
"23";"Metsän tarina";130062;"Jälkituki";"Dokumenttielokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2013;2013-12-09
"24";"Miesten vuoro";171900;"Jälkituki";"Dokumenttielokuva";"Oktober Oy";"Niina Otva";2011;2011-03-18
"25";"Reindeerspotting";33317;"Jälkituki";"Dokumenttielokuva";"Bronson Club Oy";"Niina Otva";2011;2011-02-08
"26";"Rölli ja Kultainen Avain";1e+05;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2014;2014-02-04
"27";"Herra Heinämäki ja leijonatuuliviiri";9292;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Jackpot Films Oy";"Niina Otva";2013;2013-04-24
"28";"Risto Räppääjä ja polkupyörävaras";2e+05;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Kinotar Oy (vanha)";"Niina Otva";2011;2011-04-27
"29";"Ei kiitos";286;"Jälkituki";"Pitkä näytelmäelokuva";"Kinotar Oy";"Niina Otva";2015;2015-06-04
"30";"Vadelmavene pakolainen";195000;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2015;2015-04-02
"31";"Kummeli V";350000;"Jälkituki";"Pitkä näytelmäelokuva";"Nummela-Filmi Oy";"Niina Otva";2015;2015-04-02
"32";"Kesäkaverit";152818;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2015;2015-04-02
"33";"Mielensäpahoittaja";219468;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2015;2015-04-02
"34";"EI MAATA NÄKYVISSÄ";41611;"Jälkituki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Niina Otva";2014;2014-09-17
"35";"Leijonasydän";50000;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Niina Otva";2014;2014-09-17
"36";"Ainoat oikeat";9881;"Jälkituki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Niina Otva";2014;2014-06-04
"37";"Juoppohullun päiväkirja";132692;"Jälkituki";"Pitkä näytelmäelokuva";"Dictator Films Oy";"Niina Otva";2014;2014-04-02
"38";"21 tapaa pilata avioliitto";5408;"Jälkituki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Niina Otva";2014;2014-04-02
"39";"Tumman veden päällä";29426;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2014;2014-02-04
"40";"Tie pohjoiseen";37980;"Jälkituki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Niina Otva";2013;2013-10-23
"41";"Kulman Pojat";45912;"Jälkituki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Niina Otva";2013;2013-04-24
"42";"Vuosaari";1e+05;"Jälkituki";"Pitkä näytelmäelokuva";"First Floor Productions Oy";"Niina Otva";2013;2013-02-05
"43";"Puhdistus";170000;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"44";"Vares Kaidan tien kulkija";201540;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"45";"Vares Pimeyden tango";105964;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"46";"Vares Uhkapelimerkki";47920;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2013;2013-02-05
"47";"Härmä";50000;"Jälkituki";"Pitkä näytelmäelokuva";"Yellow Film & TV Oy";"Niina Otva";2013;2013-02-05
"48";"Där vi en gång gått";15320;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Niina Otva";2012;2012-12-05
"49";"Le Havre";50000;"Jälkituki";"Pitkä näytelmäelokuva";"Sputnik Oy";"Niina Otva";2012;2012-12-05
"50";"Varasto";34985;"Jälkituki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Niina Otva";2012;2012-12-05
"51";"Vares Sukkanauhakäärme";175280;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2012;2012-02-27
"52";"Vares Pahan suudelma";4e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2012;2012-02-27
"53";"Vares Huhtikuun tytöt";134808;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2012;2012-02-27
"54";"Veijarit";210000;"Jälkituki";"Pitkä näytelmäelokuva";"Bronson Club Oy";"Niina Otva";2011;2011-06-01
"55";"JOS RAKASTAT";97607;"Jälkituki";"Pitkä näytelmäelokuva";"Juonifilmi Oy";"Niina Otva";2011;2011-06-01
"56";"Harjunpää ja pahan pappi";26564;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2011;2011-06-01
"57";"Sisko tahtoisin jäädä";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2011;2011-06-01
"58";"Prinsessa";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Niina Otva";2011;2011-04-27
"59";"Rare Exports";80000;"Jälkituki";"Pitkä näytelmäelokuva";"Cinet Oy";"Niina Otva";2011;2011-04-27
"60";"Täällä Pohjantähden alla 2";93764;"Jälkituki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Niina Otva";2011;2011-02-16
"61";"POSTIA PAPPI JAAKOBILLE";47701;"Jälkituki";"Pitkä näytelmäelokuva";"Kinotar Oy (vanha)";"Niina Otva";2010;2010-12-08
"62";"HAARAUTUVAN RAKKAUDEN TALO";1e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Niina Otva";2010;2010-10-27
"63";"RALLIRAITA";56052;"Jälkituki";"Pitkä näytelmäelokuva";"Suomen Filmiteollisuus SF Oy";"Niina Otva";2010;2010-05-26
"64";"SKAVABÖLEN POJAT";80000;"Jälkituki";"Pitkä näytelmäelokuva";"Juonifilmi Oy";"Niina Otva";2010;2010-04-28
"65";"RÖÖPERI";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2010;2010-03-29
"66";"TÄÄLLÄ POHJANTÄHDEN ALLA";180000;"Jälkituki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Niina Otva";2010;2010-03-17
"67";"HAVUKKA-AHON AJATTELIJA";120000;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2010;2010-02-10
"68";"RAJA 1918";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Border Productions Oy";"Niina Otva";2009;2009-09-01
"69";"8 PÄIVÄÄ ENSI-ILTAAN";162484;"Jälkituki";"Pitkä näytelmäelokuva";"Juonifilmi Oy";"Niina Otva";2009;2009-09-01
"70";"BLACKOUT";180000;"Jälkituki";"Pitkä näytelmäelokuva";"Filmiteollisuus Fine Oy";"Niina Otva";2009;2009-04-22
"71";"TALI-IHANTALA 1944";350000;"Jälkituki";"Pitkä näytelmäelokuva";"Åke Lindman Film-Production Oy";"Niina Otva";2009;2009-04-22
"72";"PÄÄTALO";350000;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Niina Otva";2009;2009-02-05
"73";"KUMMELI ALIVUOKRALAINEN";390000;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2009;2009-02-05
"74";"TUMMIEN PERHOSTEN KOTI";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Niina Otva";2009;2009-02-05
"75";"MYRSKY";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Stormheart Oy Ltd.";"Niina Otva";2009;2009-02-05
"76";"COLORADO AVENUE";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Kinoproduction Oy";"Petri Kemppinen";2008;2008-03-13
"77";"GANES";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Olli Soinio";2008;2008-03-03
"78";"SOOLOILUA";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Olli Soinio";2008;2008-03-03
"79";"LIEKSA";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Suomen Filmiteollisuus SF Oy";"Olli Soinio";2008;2008-03-03
"80";"V2";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Olli Soinio";2008;2008-02-05
"81";"MIEHEN TYÖ";150000;"Jälkituki";"Pitkä näytelmäelokuva";"Blind Spot Pictures Oy";"Petri Kemppinen";2008;2008-02-05
"82";"MUSTA JÄÄ";2e+05;"Jälkituki";"Pitkä näytelmäelokuva";"Making Movies - Nordberg & Aho Oy";"Petri Kemppinen";2008;2008-02-05
"83";"SUDEN VUOSI";40000;"Jälkituki";"Pitkä näytelmäelokuva";"MRP Matila Röhr Productions Oy";"Petri Kemppinen";2008;2008-02-05
"84";"RÖLLIN SYDÄN";2e+05;"Jälkituki";"Pitkä animaatioelokuva";"MRP Matila Röhr Productions Oy";"Olli Soinio";2008;2008-03-18
"85";"Risto Räppääjä ja liukas Lennart";244197;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Niina Otva";2015;2015-09-17
"86";"Lomasankarit";20216;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Yellow Film & TV Oy";"Niina Otva";2015;2015-06-04
"87";"Ella ja kaverit";173153;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Niina Otva";2015;2015-02-05
"88";"Ella ja kaverit 2 - Paterock";120000;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Niina Otva";2015;2015-02-05
"89";"Onneli ja Anneli";50000;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Zodiak Finland Oy";"Niina Otva";2015;2015-02-05
"90";"Risto Räppääjä ja viileä Venla";73698;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Elotar Oy";"Niina Otva";2013;2013-06-18
"91";"RISTO RÄPPÄÄJÄ";3e+05;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Kinotar Oy (vanha)";"Niina Otva";2009;2009-02-05
"92";"JOULUTARINA";2e+05;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Niina Otva";2008;2008-04-24
"93";"UNNA JA NUUK";187971;"Jälkituki";"Pitkä lasten ja nuorten elokuva";"SF Film Finland Oy";"Olli Soinio";2008;2008-02-05
"94";"Little Wild Worlds";20000;"Kehittämistuki";"Animaatiosarja";"Studio Outo Oy";"Pekka Uotila";2015;2015-11-19
"95";"Birdmen";16000;"Kehittämistuki";"Animaatiosarja";"Anima Boutique Oy";"Pekka Uotila";2015;2015-09-17
"96";"The Red Herring TV series";4500;"Kehittämistuki";"Animaatiosarja";"Muste ja Valo Oy";"Pekka Uotila";2015;2015-09-17
"97";"Orkyns";25000;"Kehittämistuki";"Animaatiosarja";"POD Entertainment Ab";"Joona Louhivuori";2015;2015-06-04
"98";"Divine Consultants";15000;"Kehittämistuki";"Animaatiosarja";"Filmimaa Oy";"Joona Louhivuori";2015;2015-04-02
"99";"Nano Siblings";14400;"Kehittämistuki";"Animaatiosarja";"Production Sompa osk";"Pekka Uotila";2015;2015-11-19
"100";"Fleak (Kirppu)";15000;"Kehittämistuki";"Animaatiosarja";"Anima Vitae Oy";"Pekka Uotila";2015;2015-09-17
"101";"Fleak (Kirppu)";15000;"Kehittämistuki";"Animaatiosarja";"Anima Vitae Oy";"Joona Louhivuori";2015;2015-06-04
"102";"Hullabalooba II";40000;"Kehittämistuki";"Animaatiosarja";"Studio Outo Oy";"Joona Louhivuori";2015;2015-06-04
"103";"Yellow Snowman";5000;"Kehittämistuki";"Animaatiosarja";"Gigglebug Entertainment Oy";"Joona Louhivuori";2015;2015-04-02
"104";"Kirppu";20000;"Kehittämistuki";"Animaatiosarja";"Anima Vitae Oy";"Joona Louhivuori";2014;2014-09-18
"105";"Pikkuli";25000;"Kehittämistuki";"Animaatiosarja";"Sun In Eye Productions Osk";"Joona Louhivuori";2014;2014-09-18
"106";"Herra Kepponen -lastenanimaatiosarjan pilottijakso";20000;"Kehittämistuki";"Animaatiosarja";"Tuotantoyhtiö Kavio Oy";"Joona Louhivuori";2014;2014-09-18
"107";"Mr Eggington";30000;"Kehittämistuki";"Animaatiosarja";"UNDO Oy";"Joona Louhivuori";2014;2014-09-18
"108";"Kikattava Kakkiainen";20000;"Kehittämistuki";"Animaatiosarja";"Anima Boutique Oy";"Joona Louhivuori";2012;2012-05-30
"109";"Hullabalooba, Seitsemän meren sekoilijat";30000;"Kehittämistuki";"Animaatiosarja";"Studio Outo Oy";"Joona Louhivuori";2012;2012-02-08
"110";"Orkyns";25000;"Kehittämistuki";"Animaatiosarja";"POD Entertainment Ab";"Joona Louhivuori";2014;2014-12-04
"111";"Arkipellina";16000;"Kehittämistuki";"Animaatiosarja";"Långfilm Productions Finland Oy";"Joona Louhivuori";2014;2014-06-04
"112";"Little Wild Worlds";20000;"Kehittämistuki";"Animaatiosarja";"Studio Outo Oy";"Joona Louhivuori";2014;2014-06-04
"113";"Kaisa Lipponen";25000;"Kehittämistuki";"Animaatiosarja";"Moskito Television Oy";"Joona Louhivuori";2011;2011-02-08
"114";"Pelimiehet (Game Plan)";40000;"Kehittämistuki";"Dokumenttielokuva";"Mediatehdas Dakar Oy";"Elina Kivihalme";2012;2012-03-21
"115";"Tunnusta väriä / Jalkapallomaa";12000;"Kehittämistuki";"Dokumenttielokuva";"Ahlgren Harjula Konttinen Oy";"Elina Kivihalme";2011;2011-02-08
"116";"TATSKA (nuorisoraha)";17000;"Kehittämistuki";"Dokumenttielokuva";"napafilms oy";"Joona Louhivuori";2010;2010-12-08
"117";"FISKE MED GUNNAR (nuorisoraha)";16500;"Kehittämistuki";"Dokumenttielokuva";"Oy Bufo Ab";"Joona Louhivuori";2010;2010-12-08
"118";"KOULU (sarja 6x30)";16000;"Kehittämistuki";"Dokumenttielokuva";"Filmimaa Oy";"Miia Haavisto";2010;2010-09-15
"119";"MS Romantic";20000;"Kehittämistuki";"TV-sarja";"Yellow Film & TV Oy";"Marjo Valve";2015;2015-11-19
"120";"Perheen ytimessä";15000;"Kehittämistuki";"TV-sarja";"Special Film Company Oy";"Marjo Valve";2015;2015-09-17
"121";"Musta valo";30000;"Kehittämistuki";"TV-sarja";"Vertigo Production Oy";"Marjo Valve";2015;2015-09-17
"122";"Ett privat initiativ";10000;"Kehittämistuki";"TV-sarja";"Oy Bufo Ab";"Joona Louhivuori";2015;2015-04-02
"123";"STUDIO";15000;"Kehittämistuki";"TV-sarja";"Periferia Productions Oy";"Joona Louhivuori";2015;2015-04-02
"124";"SANKARIT";25000;"Kehittämistuki";"TV-sarja";"Vertigo Production Oy";"Joona Louhivuori";2015;2015-04-02
"125";"Sorjonen Tv-sarja";20000;"Kehittämistuki";"TV-sarja";"Fisher King Production Oy";"Joona Louhivuori";2015;2015-02-05
"126";"DAILY APES (tv-sarja)";37500;"Kehittämistuki";"Ei tietoa";"Anima Vitae Oy";"Jukka Asikainen";2008;2008-06-18
"127";"THE SAMPO";50000;"Kehittämistuki";"Ei tietoa";"NDFC Helsinki Oy";"Kaisu Isto";2010;2010-03-31
"128";"LÄNNEN MIES";25000;"Kehittämistuki";"Ei tietoa";"Solar Films Inc. Oy";"Jukka Asikainen";2009;2009-12-22
"129";"MISS FARKKU-SUOMI";15000;"Kehittämistuki";"Ei tietoa";"Periferia Productions Oy";"Jukka Asikainen";2009;2009-06-16
"130";"KONGON AKSELI";18000;"Kehittämistuki";"Ei tietoa";"Illume Oy";"Elina Kivihalme";2008;2008-05-09
"131";"ELÄMÄN LÄMMÖSSÄ";10000;"Kehittämistuki";"Ei tietoa";"Oktober Oy";"Elina Kivihalme";2008;2008-03-26
"132";"Paratiisin avaimet";15000;"Kehittämistuki";"Lyhyt elokuva";"For Real Productions FRP Oy";"Joona Louhivuori";2011;2011-02-08
"133";"Merkki (nuorisoraha)";25000;"Kehittämistuki";"Lyhyt elokuva";"Pohjola-filmi Oy";"Joona Louhivuori";2011;2011-02-08
"134";"URANUS EXPRESS (tv-sarja)";27300;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Elokas";"Miia Haavisto";2008;2008-11-20
"135";"MAMMANPOIKA";10000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Indie Films Oy";"Elina Kivihalme";2008;2008-10-08
"136";"FARUZA";6500;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Camera Cagliostro";"Elina Kivihalme";2008;2008-07-02
"137";"KRAMPPEJA JA NYRJÄHDYKSIÄ (tv-sarja)";15000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Nick Dorra Tuotanto Oy";"Jukka Asikainen";2008;2008-06-27
"138";"POIKA (tv-sarja)";6000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Kinestasis Oy";"Elina Kivihalme";2008;2008-03-31
"139";"Samsara";5000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Kaiho Republic Oy";"Pekka Uotila";2015;2015-11-19
"140";"Radio Dolores";7800;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Camera Cagliostro";"Joona Louhivuori";2015;2015-06-04
"141";"Sore Eyes for Infinity";15000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Pyjama Films Oy";"Joona Louhivuori";2015;2015-04-02
"142";"Tulenkantajat";15000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Brutal de Lux Oy";"Joona Louhivuori";2014;2014-12-04
"143";"Madonreikä";15000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Twisted Films Oy";"Joona Louhivuori";2014;2014-12-04
"144";"High Level";2762;"Kehittämistuki";"Lyhyt animaatioelokuva";"Oy Bufo Ab";"Joona Louhivuori";2014;2014-09-08
"145";"Lepatus";7000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Indie Films Oy";"Joona Louhivuori";2014;2014-06-04
"146";"Kaivanto";11000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Indie Films Oy";"Joona Louhivuori";2013;2013-05-29
"147";"BabyBox";12000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Camera Cagliostro";"Joona Louhivuori";2013;2013-04-24
"148";"Aigin (saamelaisraha)";15000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Mutant Koala Pictures Oy";"Joona Louhivuori";2012;2012-05-30
"149";"Musta hevonen animaatiosarja";10000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Tuotantoyhtiö Kavio Oy";"Joona Louhivuori";2012;2012-05-30
"150";"Frank The Lobster";11000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Edith Film Oy";"Joona Louhivuori";2011;2011-10-26
"151";"Varkaat (nuorisoraha)";14000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Anima Vitae Oy";"Joona Louhivuori";2011;2011-09-13
"152";"Korkkarit (nuorisoraha)";20000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Brutal de Lux Oy";"Joona Louhivuori";2011;2011-09-13
"153";"ELÄIMIÄ ELÄIMILLE (nuorisoraha)";11500;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Camera Cagliostro";"Joona Louhivuori";2010;2010-12-08
"154";"PELASTAKAA SARVIKUONOT";15000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Conga Group Oy";"Joona Louhivuori";2010;2010-12-08
"155";"TYTTÖJEN TUUMAT JA POIKIEN PUUHAT (tv-sarja 12x12 min)";10000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Anima Boutique Oy";"Miia Haavisto";2010;2010-07-01
"156";"MICROPUNKS (elvytys)";42000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Anima Vitae Oy";"Miia Haavisto";2010;2010-06-29
"157";"DAILY APES (tv-sarja) (elvytys)";62500;"Kehittämistuki";"Lyhyt animaatioelokuva";"Anima Vitae Oy";"Jukka Asikainen";2010;2010-04-19
"158";"CYCLE";9000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Filmill Ky";"Miia Haavisto";2010;2010-04-08
"159";"EVANKELIUMI";10000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Leino Production Oy";"Miia Haavisto";2009;2009-06-18
"160";"FARUZA";3900;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Camera Cagliostro";"Miia Haavisto";2009;2009-05-22
"161";"TAHRA";10000;"Kehittämistuki";"Dokumenttielokuva";"Mediatuotanto Amigos Oy";"Miia Haavisto";2010;2010-09-15
"162";"VENÄJÄN VAPAIN MIES";14000;"Kehittämistuki";"Dokumenttielokuva";"Kinocompany Finland Oy";"Miia Haavisto";2010;2010-05-24
"163";"TYTTÖJEN TUUMAT & POIKIEN PUUHAT (sarja)";20775;"Kehittämistuki";"Lyhyt animaatioelokuva";"Anima Boutique Oy";"Miia Haavisto";2008;2008-12-03
"164";"TALVIMAISEMA";45000;"Kehittämistuki";"Lyhyt animaatioelokuva";"ZOT Oy lakannut 10.7.2012";"Elina Kivihalme";2008;2008-06-26
"165";"Uku-Ukun taikaviidakko";20000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Media Alert Oy (aputoiminimi Epidem)";"Joona Louhivuori";2014;2014-06-04
"166";"Miina ja Manu";10000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Aarmark Oy";"Joona Louhivuori";2013;2013-12-09
"167";"Pipopingviini (nuorisoraha)";6900;"Kehittämistuki";"Lyhyt animaatioelokuva";"Muste ja Valo Oy";"Joona Louhivuori";2011;2011-09-13
"168";"ELLA & ALEKSI (elvytys)";35000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Bronson Club Oy";"Miia Haavisto";2010;2010-09-08
"169";"SOKERIHUURU (elvytys)";13000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Edith Film Oy";"Miia Haavisto";2010;2010-02-23
"170";"URANUS EXPRESS (tv-sarja)";20000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Elokuvaosuuskunta Elokas";"Miia Haavisto";2009;2009-10-08
"171";"HÖLMÖLÄISTARINAT (15x4 min.)";6000;"Kehittämistuki";"Lyhyt animaatioelokuva";"Blue Media Productions Oy";"Miia Haavisto";2009;2009-06-25
"172";"Gigglebug";35000;"Kehittämistuki";"Animaatiosarja";"Gigglebug Entertainment Oy";"Joona Louhivuori";2013;2013-12-09
"173";"Lil' Birdie - Pikkuli";20000;"Kehittämistuki";"Animaatiosarja";"Sun In Eye Productions Osk";"Joona Louhivuori";2013;2013-09-18
"174";"eetu lumiukko";10000;"Kehittämistuki";"Animaatiosarja";"Hima light oy";"Joona Louhivuori";2013;2013-04-24
"175";"Pikkuli-animaatiosarja";20000;"Kehittämistuki";"Animaatiosarja";"Sun In Eye Productions Osk";"Joona Louhivuori";2013;2013-03-20
"176";"Milja";20000;"Kehittämistuki";"Animaatiosarja";"Bronson Club Oy";"Joona Louhivuori";2012;2012-10-24
"177";"Hilla itse";4500;"Kehittämistuki";"Animaatiosarja";"Åke Lindman Film-Production Oy";"Joona Louhivuori";2012;2012-10-24
"178";"Rosabella - Osapäiväinen prinsessa";20000;"Kehittämistuki";"Animaatiosarja";"Visible Oy";"Joona Louhivuori";2012;2012-05-30
"179";"Ghost Town";24000;"Kehittämistuki";"Animaatiosarja";"UNDO Oy";"Joona Louhivuori";2015;2015-03-23
"180";"Niko - The New Adventures";45000;"Kehittämistuki";"Animaatiosarja";"Anima Vitae Oy";"Joona Louhivuori";2013;2013-12-09
"181";"Ta-dah";20000;"Kehittämistuki";"Animaatiosarja";"Pikkukala oy";"Joona Louhivuori";2013;2013-03-20
