"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"131";"Le Havre";129219;"2011";"Future Film";2011-09-09;"Le Havre";"SUOMI-RANSKA-SAKSA"
"132";"Pussikaljaelokuva";79994;"2011";"Nordisk Film Theatrical Distribution Oy";2011-09-02;"Pussikaljaelokuva";"SUOMI"
"133";"Iris";16810;"2011";"Sandrew Metronome Dist.";2011-08-26;"Iris";"SUOMI"
"134";"Mama Africa";8702;"2011";"FS Film Oy";2011-08-12;"Mama Africa";"SAKSA-SUOMI"
"135";"Vares - Sukkanauhakäärme";88891;"2011";"Nordisk Film Theatrical Distribution Oy";2011-08-05;"Vares - Sukkanauhakäärme";"SUOMI"
"136";"Roskisprinssi";27759;"2011";"The Walt Disney Company Nordic";2011-07-29;"Roskisprinssi";"SUOMI"
"137";"Taistelu Turusta";1692;"2011";"Pirkanmaan Elokuvakeskus";2011-04-29;"Taistelu Turusta";"SUOMI"
"138";"Vares - Huhtikuun tytöt";78739;"2011";"Nordisk Film Theatrical Distribution Oy";2011-04-22;"Vares - Huhtikuun tytöt";"SUOMI"
"139";"Elokuu";39732;"2011";"Nordisk Film Theatrical Distribution Oy";2011-04-01;"Elokuu";"SUOMI"
"140";"Sinkkuelämän säännöt";3002;"2011";"Sandrew Metronome Dist.";2011-04-01;"Sinkkuelämän säännöt";"SUOMI"
"141";"Hyvä poika";10159;"2011";"The Walt Disney Company Nordic";2011-03-25;"Hyvä poika";"SUOMI"
"142";"Veljekset";3824;"2011";"FS Film Oy";2011-03-18;"Veljekset";"SUOMI"
"143";"Salla - Selling the Silence";831;"2011";"Pirkanmaan Elokuvakeskus";2011-03-11;"Salla - Selling the Silence";"SUOMI"
"144";"Sovinto";51944;"2011";"Nordisk Film Theatrical Distribution Oy";2011-03-11;"Svinalängorna";"RUOTSI-SUOMI"
"145";"Eetu ja konna";16427;"2011";"Finnkino Oy";2011-02-18;"Eetu ja konna";"SUOMI"
"146";"Tuntematon emäntä";17357;"2011";"Pirkanmaan Elokuvakeskus";2011-02-04;"Tuntematon emäntä";"SUOMI"
"147";"Hella W";85320;"2011";"Sandrew Metronome Dist.";2011-01-28;"Hella W";"SUOMI"
"148";"Vares - Pahan suudelma";204203;"2011";"Nordisk Film Theatrical Distribution Oy";2011-01-06;"Vares - Pahan suudelma";"SUOMI"
"149";"Veijarit";112294;"2010";"Nordisk Film Theatrical Distribution Oy";2010-12-25;"Veijarit";"SUOMI"
"150";"Rare Exports";251861;"2010";"FS Film Oy";2010-12-03;"Rare Exports";"SUOMI"
"151";"Sielunpelastajat";221;"2010";"Pirkanmaan Elokuvakeskus";2010-11-26;"Sielunpelastajat";"SUOMI"
"152";"ITO - kilvoittelijan päiväkirja";3201;"2010";"Cinema Mondo Oy";2010-11-12;"ITO - kilvoittelijan päiväkirja";"SUOMI"
"153";"Harjunpää ja pahan pappi";51179;"2010";"Nordisk Film Theatrical Distribution Oy";2010-10-29;"Harjunpää ja pahan pappi";"SUOMI"
"154";"Ruotsalainen avioliitto";10457;"2010";"Cinema Mondo Oy";2010-10-29;"Det enda rationella";"RUOTSI-SUOMI"
"155";"Napapiirin sankarit";384392;"2010";"Sandrew Metronome Dist.";2010-10-15;"Napapiirin sankarit";"SUOMI"
"156";"Täällä Pohjantähden Alla II";68489;"2010";"The Walt Disney Company Nordic";2010-09-24;"Täällä Pohjantähden Alla II";"SUOMI"
"157";"Prinsessa";297011;"2010";"Sandrew Metronome Dist.";2010-09-10;"Prinsessa";"SUOMI"
"158";"Vesku";37448;"2010";"FS Film Oy";2010-09-03;"Vesku";"SUOMI"
"159";"Sisko tahtoisin jäädä";137921;"2010";"Nordisk Film Theatrical Distribution Oy";2010-08-13;"Sisko tahtoisin jäädä";"SUOMI"
"160";"Muumi ja punainen pyrstötähti";35451;"2010";"FS Film Oy";2010-08-06;"Muumi ja punainen pyrstötähti";"SUOMI"
"161";"Vähän kunnioitusta";14662;"2010";"The Walt Disney Company Nordic";2010-06-11;"Vähän kunnioitusta";"SUOMI"
"162";"Rautaa rajan taa";306;"2010";"Finnkino Oy";2010-04-16;"Rautaa rajan taa";"SUOMI"
"163";"Reindeerspotting";63654;"2010";"Nordisk Film Theatrical Distribution Oy";2010-04-09;"Reindeerspotting";"SUOMI"
"164";"Miesten vuoro";49911;"2010";"Nordisk Film Theatrical Distribution Oy";2010-03-26;"Miesten vuoro";"SUOMI"
"165";"Tuomari Nurmio stadilaista tangoa etsimässä";975;"2010";"FS Film Oy";2010-03-19;"Tuomari Nurmio stadilaista tangoa etsimässä";"SUOMI"
"166";"Freetime Machos";1911;"2010";"Pirkanmaan Elokuvakeskus";2010-03-12;"Freetime Machos";"SUOMI"
"167";"Kohtaamisia";29381;"2010";"Nordisk Film Theatrical Distribution Oy";2010-03-05;"Kohtaamisia";"SUOMI"
"168";"Sukunsa viimeinen";1536;"2010";"Pirkanmaan Elokuvakeskus";2010-02-26;"Pudana – Last of the Line";"SUOMI"
"169";"Auf Wiedersehen Finnland";4220;"2010";"SUOMEN Elokuvakontakti R";2010-02-12;"Auf Wiedersehen Finnland";"SUOMI"
"170";"Risto Räppääjä ja polkupyörävaras";327638;"2010";"Nordisk Film Theatrical Distribution Oy";2010-02-12;"Risto Räppääjä ja polkupyörävaras";"SUOMI"
"171";"Paha perhe";15837;"2010";"Sandrew Metronome Dist.";2010-01-29;"Paha perhe";"SUOMI"
"172";"Jos rakastat";85562;"2010";"FS Film Oy";2010-01-08;"Jos rakastat";"SUOMI"
"173";"Havukka-ahon ajattelija";222797;"2009";"Nordisk Film Theatrical Distribution Oy";2009-12-15;"Havukka-ahon ajattelija";"SUOMI"
"174";"Mitä meistä tuli";5423;"2009";"Black Lion Independent";2009-12-11;"Mitä meistä tuli";"SUOMI"
"175";"Täällä Pohjantähden alla";166265;"2009";"The Walt Disney Company Nordic";2009-12-04;"Täällä Pohjantähden alla";"SUOMI"
"176";"Thomas";899;"2009";"Pirkanmaan Elokuvakeskus";2009-11-20;"Thomas";"SUOMI"
"177";"Pihalla";13599;"2009";"Sandrew Metronome Dist.";2009-10-23;"Pihalla";"SUOMI-SAKSA"
"178";"Magneettimies";1575;"2009";"Pirkanmaan Elokuvakeskus";2009-10-16;"Magneettimies";"SUOMI"
"179";"Väärät juuret";6519;"2009";"The Walt Disney Company Nordic";2009-10-09;"Väärät juuret";"SUOMI"
"180";"Kuulustelu";11728;"2009";"The Walt Disney Company Nordic";2009-09-25;"Kuulustelu";"SUOMI"
"181";"Kansakunnan olohuone";368;"2009";"Pirkanmaan Elokuvakeskus";2009-09-11;"Kansakunnan olohuone";"SUOMI"
"182";"Skavabölen pojat";46059;"2009";"FS Film Oy";2009-09-04;"Skavabölen pojat";"SUOMI"
"183";"Haarautuvan rakkauden talo";144776;"2009";"FS Film Oy";2009-08-21;"Haarautuvan rakkauden talo";"SUOMI"
"184";"Täynnä tarmoa";1389;"2009";"Bio Rex Cinemas";2009-05-01;"Täynnä tarmoa";"SUOMI"
"185";"Postia pappi Jaakobille";99481;"2009";"Nordisk Film Theatrical Distribution Oy";2009-04-03;"Postia pappi Jaakobille";"SUOMI"
"186";"Toinen jalka haudasta";12911;"2009";"Sandrew Metronome Dist.";2009-03-20;"Toinen jalka haudasta";"SUOMI"
"187";"Ralliraita";59034;"2009";"The Walt Disney Company Nordic";2009-02-27;"Ralliraita";"SUOMI"
"188";"Kielletty hedelmä";115904;"2009";"Sandrew Metronome Dist.";2009-02-13;"Kielletty hedelmä";"SUOMI"
"189";"Muukalainen";1961;"2009";"Sandrew Metronome Dist.";2009-01-30;"Muukalainen";"SUOMI"
"190";"Liikkumavara";130;"2009";"Pirkanmaan Elokuvakeskus";2009-01-23;"Liikkumavara";"SUOMI"
"191";"Maata meren alla";6717;"2009";"Sandrew Metronome Dist.";2009-01-23;"Maata meren alla";"SUOMI"
"192";"Rööperi";260020;"2009";"Nordisk Film Theatrical Distribution Oy";2009-01-09;"Rööperi";"SUOMI"
"193";"Blackout";54523;"2008";"FS Film Oy";2008-12-26;"Blackout";"SUOMI"
"194";"Putoavia enkeleitä";37414;"2008";"Sandrew Metronome Dist.";2008-12-05;"Putoavia enkeleitä";"SUOMI"
"195";"Kolme viisasta miestä";2987;"2008";"FS Film Oy";2008-11-14;"Kolme viisasta miestä";"SUOMI"
"196";"Ikuistetut hetket";17589;"2008";"Sandrew Metronome Dist.";2008-11-07;"Maria Larssons eviga ögonblick";"RUOTSI-TANSKA-SUOMI"
"197";"Sauna";21503;"2008";"Sandrew Metronome Dist.";2008-10-24;"Sauna";"SUOMI"
"198";"Niko - lentäjän poika";233664;"2008";"Nordisk Film Theatrical Distribution Oy";2008-10-10;"Niko - lentäjän poika";"SUOMI-IRLANTI-TANSKA-SAKSA"
"199";"Päätalo";117478;"2008";"Nordisk Film Theatrical Distribution Oy";2008-09-26;"Päätalo";"SUOMI"
"200";"Katastrofin aineksia";14463;"2008";"Finnkino Oy";2008-09-19;"RECIPES FOR DISASTER";"SUOMI"
"201";"Kummeli alivuokralainen";191996;"2008";"Nordisk Film Theatrical Distribution Oy";2008-09-12;"Kummeli alivuokralainen";"SUOMI"
"202";"Erottamattomat";23683;"2008";"Nordisk Film Theatrical Distribution Oy";2008-09-05;"Erottamattomat";"SUOMI"
"203";"Käsky";35744;"2008";"FS Film Oy";2008-08-29;"Käsky";"SUOMI"
"204";"Myrsky";112163;"2008";"The Walt Disney Company Nordic";2008-08-15;"Myrsky";"SUOMI"
"205";"Sonic Mirror";619;"2008";"Future Film";2008-04-25;"Sonic Mirror";"SVEITSI-SAKSA-SUOMI"
