"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"257";"Kaksipäisen kotkan varjossa";64946;"2005";"The Walt Disney Company Nordic";2005-09-09;"Kaksipäisen kotkan varjossa";"SUOMI"
"258";"Game Over";16449;"2005";"FS Film Oy";2005-08-26;"Game Over";"SUOMI"
"259";"Koti-ikävä";23523;"2005";"Finnkino Oy";2005-08-12;"Koti-ikävä";"SUOMI"
"260";"Paimenet";2884;"2005";"FS Film Oy";2005-03-18;"Paimenet";"SUOMI"
"261";"Sen edestään löytää";3402;"2005";"FS Film Oy";2005-03-04;"Sen edestään löytää";"SUOMI"
"262";"Honey Baby";814;"2005";"Future Film";2005-02-25;"Honey Baby";"SAKSA-SUOMI"
"263";"Eläville ja kuolleille";6096;"2005";"Sandrew Metronome Dist.";2005-02-18;"Eläville ja kuolleille";"SUOMI"
"264";"Onnen varjot";80049;"2005";"Nordisk Film Theatrical Distribution Oy";2005-02-11;"Onnen varjot";"SUOMI"
"265";"Kuuban valloittajat";1544;"2005";"FS Film Oy";2005-01-28;"Kuuban valloittajat";"SUOMI"
"266";"Paha maa";172016;"2005";"The Walt Disney Company Nordic";2005-01-14;"Paha maa";"SUOMI"
"267";"Keisarikunta";117693;"2004";"FS Film Oy";2004-12-25;"Harbour Brothers";"SUOMI"
"268";"Pelikaanimies";103899;"2004";"The Walt Disney Company Nordic";2004-12-17;"Pelikaanimies";"SUOMI"
"269";"RIOT ON";2032;"2004";"Sandrew Metronome Dist.";2004-11-12;"RIOT ON";"SUOMI"
"270";"V.O.I.T.K.A. - metsän veljet";393;"2004";"FS Film Oy";2004-10-29;"V.O.I.T.K.A. - metsän veljet";"SUOMI"
"271";"Kukkia ja sidontaa";24193;"2004";"Nordisk Film Theatrical Distribution Oy";2004-10-15;"Kukkia ja sidontaa";"SUOMI"
"272";"Melancholian 3 huonetta";7353;"2004";"Finnkino Oy";2004-10-08;"Melancholian 3 huonetta";"SUOMI"
"273";"Lapsia ja Aikuisia - Kuinka niitä tehdään?";54934;"2004";"FS Film Oy";2004-09-17;"Producing Adults";"SUOMI"
"274";"Uuno Turhapuro - This is My Life";145348;"2004";"Finnkino Oy";2004-09-10;"Uuno Turhapuro - This is my life";"SUOMI"
"275";"Juoksuhaudantie";101728;"2004";"FS Film Oy";2004-08-27;"Juoksuhaudantie";"SUOMI"
"276";"Ystäväni Henry";10650;"2004";"FS Film Oy";2004-08-20;"Ystäväni Henry";"SUOMI"
"277";"Vares";201134;"2004";"The Walt Disney Company Nordic";2004-07-23;"Vares";"SUOMI"
"278";"Joensuun Elli";4905;"2004";"FS Film Oy";2004-04-09;"Elli";"SUOMI"
"279";"Työväenluokka";1082;"2004";"FS Film Oy";2004-03-26;"Työväenluokka";"SUOMI"
"280";"Etulinjan edessä";94129;"2004";"The Walt Disney Company Nordic";2004-03-05;"Framom främsta linjen";"SUOMI"
"281";"Jumalan Morsian";1103;"2004";"FS Film Oy";2004-03-05;"A Bride of The Seventh Heaven";"SUOMI"
"282";"Koirankynnen leikkaaja";199634;"2004";"The Walt Disney Company Nordic";2004-02-13;"Koirankynnen leikkaaja";"SUOMI"
"283";"Isältä Pojalle";3390;"2004";"FS Film Oy";2004-02-06;"Father to Son";"SUOMI"
"284";"Levottomat 3";133767;"2004";"The Walt Disney Company Nordic";2004-01-16;"Levottomat 3";"SUOMI"
