"";"elokuva";"tukisumma";"tukityyppi";"lajityyppi";"hakija";"esittelija";"tukivuosi";"tukipvm"
"1";"Rölli ja kultainen avain";7e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"MRP Matila Röhr Productions Oy";"Kaisu Isto";2012;2012-04-05
"2";"Onnenonkija";620000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Marjo Valve";2015;2015-04-02
"3";"Viikossa aikuiseksi";730000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dionysos Films Oy";"Marjo Valve";2014;2014-04-02
"4";"Eila, Rampe ja Likka";610000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Kinosto Oy";"Marjo Valve";2014;2014-04-02
"5";"VARES - SERIFFI";530000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Marjo Valve";2014;2014-04-02
"6";"NM2 (TYÖNIMI)";290000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"FremantleMedia Finland Oy";"Hannu Tuomainen";2013;2013-10-23
"7";"Elämältä kaiken sain (ent. Kotiinpaluu)";580000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Marianna Films Oy";"Hannu Tuomainen";2013;2013-10-23
"8";"KÄTILÖ";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Hannu Tuomainen";2013;2013-10-23
"9";"LEIJONASYDÄN";750000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Helsinki-filmi Oy";"Kaisu Isto";2012;2012-04-05
"10";"Isänmaallinen mies";740000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Art Films production AFP Oy";"Kaisu Isto";2012;2012-04-05
"11";"Kaappari (ent. Pitkäperjantai)";550000;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Solar Films Inc. Oy";"Kaisu Isto";2011;2011-10-17
"12";"Juoppohullun päiväkirja";5e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Dictator Films Oy";"Kaisu Isto";2011;2011-10-17
"13";"Vuonna 85";8e+05;"50/50-tuotantotuki";"Pitkä näytelmäelokuva";"Artista Filmi Oy";"Kaisu Isto";2011;2011-10-17
"14";"Risto Räppääjä ja yöhaukka";8e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2015;2015-04-02
"15";"Risto Räppääjä ja Sevillan saituri";560000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Artista Filmi Oy";"Marjo Valve";2014;2014-04-02
"16";"Lomasankarit ( ent. Seikkailu Kreikassa)";585000;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Yellow Film & TV Oy";"Hannu Tuomainen";2013;2013-10-23
"17";"Ei maata näkyvissä";2e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"FremantleMedia Finland Oy";"Kaisu Isto";2012;2012-04-05
"18";"Ella ja kaverit";4e+05;"50/50-tuotantotuki";"Pitkä lasten ja nuorten elokuva";"Snapper Films Oy";"Kaisu Isto";2011;2011-10-17
"19";"MISSÄ ON MISSÄ? Ahtila Eija-Liisa/verkkojakelu";4932;"Digitaalisen jakelun tuki";"";"Kristallisilmä Oy";"Harri Ahokas";2011;2011-12-19
"20";"Toiset tytöt";2350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-11-26
"21";"Armi elää! (DVD, VOD)";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-11-18
"22";"Ruotsalainen hetki";2300;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-11-18
"23";"Herra Puntila ja hänen renkinsä Matti";2100;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-11-18
"24";"Meren kasvojen edessä";746;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-11-18
"25";"2 hauskaa vekkulia";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"26";"Aatamin puvussa ja vähän Eevankin";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"27";"Alaston malli karkuteillä";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"28";"Anu ja Mikko";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"29";"Asessorin naishuolet";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"30";"Elokuu";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"31";"Hopeaa rajan takaa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"32";"Iskelmäketju";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"33";"Kaikkien naisten monni";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"34";"Kolmiapila";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"35";"Kulkurin masurkka";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"36";"Kummituskievari";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"37";"Kuningas kulkureitten";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"38";"Laivaston monnit maissa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"39";"Luottamus";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"40";"Miljonäärimonni";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"41";"Noita palaa elämään";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"42";"Poika eli kesäänsä";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"43";"Punainen viiva";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"44";"Rintamalotta";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"45";"Rosvo Roope";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"46";"Saariston tyttö";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"47";"Salakuljettajan laulu";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"48";"Suomalaistyttöjä Tukholmassa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"49";"Taas tyttö kadoksissa";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"50";"Veskun parhaat Spede -elokuvat box";1500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"51";"Ylijäämänainen";1000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-06-04
"52";"Risto Räppääjä ja Sevillan saituri";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"The Walt Disney Company Nordic";"Harri Ahokas";2015;2015-06-04
"53";"Muutoksii";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2015;2015-06-03
"54";"KORSO";5995;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-04-28
"55";"Eedenistä pohjoiseen";9184;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2015;2015-04-08
"56";"Miesten välisiä keskusteluja";1417;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2015;2015-04-08
"57";"Monsterimies";2200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"58";"Akseli ja Elina";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"59";"Evakko";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"60";"Kovanaama";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"61";"Kultainen vasikka";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"62";"Lumikki ja 7 jätkää";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"63";"Meiltähän tämä käy";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"64";"Paksunahka";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"65";"Pioneer - Sukellus meren syvyyksiin";1500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"66";"Rakkaus alkaa aamuyöstä";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"67";"Ratavartijan kaunis Inkeri";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"68";"Sissit";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"69";"Syntipukki";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"70";"Täällä alkaa seikkailu";1200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-04-02
"71";"He ovat paenneet";9000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2015;2015-04-01
"72";"Nightmare 2 - Painajainen jatkuu";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2015;2015-04-01
"73";"Päin Seinää";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2015;2015-04-01
"74";"Marraskuun harmaa valo";2887;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2015;2015-01-07
"75";"Presidentintekijät";7726;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2015;2015-01-07
"76";"Oppipoika Lärjungen";5211;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-01-07
"77";"Silmäterä";3484;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Atlantic Film Finland Ab";"Harri Ahokas";2015;2015-01-07
"78";"LAULU-elokuvan DVD-julkaisu";2200;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Black Lion Pictures Oy";"Harri Ahokas";2014;2014-12-05
"79";"Ulvilan murhamysteeri";3000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"80";"Onneli ja Anneli";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-12-05
"81";"Risto Räppääjä ja liukas Lennart";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"The Walt Disney Company Nordic";"Harri Ahokas";2014;2014-12-05
"82";"Kesäkaverit";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-12-05
"83";"Kummeli V";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-12-05
"84";"Aikuisten poika";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2014;2014-12-05
"85";"Ja Helena soittaa";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"86";"Jokin ihmisessä";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"87";"Kaasua, Komisario Palmu";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"88";"Näkemiin Helena";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"89";"Olemme kaikki syyllisiä";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"90";"Pää pystyyn Helena";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"91";"Romanssi";2250;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"92";"Ruskan jälkeen";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"93";"Tukkijoella";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"94";"Tähdet kertovat, Komisario Palmu";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"95";"Täällä Pohjantähden alla";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"96";"Villi Pohjola";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"97";"Vodkaa, Komisario Palmu";1350;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2014;2014-12-05
"98";"Ella ja kaverit";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Snapper Films Oy";"Harri Ahokas";2014;2014-12-05
"99";"Ella ja kaverit 2 - Paterock";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Snapper Films Oy";"Harri Ahokas";2014;2014-12-05
"100";"Laulu Koti-Ikävästä";2895;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2014;2014-06-30
"101";"Ei Kiitos";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2014;2014-06-04
"102";"Nuoren Wertherin Jäljillä";5000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2014;2014-06-04
"103";"Heinähattu ja Vilttitossu - 10-vuotisjuhlajulkaisu";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Isla Sales Oy";"Harri Ahokas";2014;2014-06-04
"104";"Ihmiset suviyössä";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"105";"Jon";3300;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"106";"Kaikki rakastavat";500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"107";"Kesäkapina";1400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"108";"Kun taivas putoaa...";2000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"109";"Mieheke";500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"110";"Neiti tuittupää";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"111";"Nummisuutarit";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"112";"Nuori mylläri";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"113";"Pohjalaisia";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"114";"Rikas tyttö";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"115";"Sysmäläinen";400;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"116";"Uuno Turhapuron veli";1900;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"117";"Vihreä leski";1500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2014;2014-06-04
"118";"Ainoat oikeat";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-06-04
"119";"Mieletön elokuu";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-06-04
"120";"Tumman veden päällä";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-06-04
"121";"Isänmaallinen Mies";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2014;2014-06-04
"122";"Juha";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2014;2014-06-04
"123";"Leningrad Cowboys meet Moses";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2014;2014-06-04
"124";"Rikos ja Rangaistus";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2014;2014-06-04
"125";"Total Balalaika Show";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2014;2014-06-04
"126";"Betoniyö";4000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Scanbox Entertainment Finland Oy";"Harri Ahokas";2014;2014-06-04
"127";"Leijonasydän";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Scanbox Entertainment Finland Oy";"Harri Ahokas";2014;2014-06-04
"128";"Hilton";2675;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2014;2014-03-03
"129";"Säilöttyjä unelmia";4276;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2014;2014-03-03
"130";"Taistelu Näsilinnasta 1918";9455;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2014;2014-03-03
"131";"Niko 2 - lentäjäveljekset";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-12-09
"132";"Metsän tarina";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-12-09
"133";"Selänne";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2013;2013-12-09
"134";"Rölli ja kultainen avain";10000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-12-09
"135";"Uppo-Nalle";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"136";"21 tapaa pilata avioliitto";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-12-09
"137";"8-Pallo";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-12-09
"138";"Kekkonen tulee!";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-12-09
"139";"Juoppohullun päiväkirja";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Scanbox Entertainment Finland Oy";"Harri Ahokas";2013;2013-12-09
"140";"Kaikella rakkaudella";5500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"The Walt Disney Company Nordic";"Harri Ahokas";2013;2013-12-09
"141";"Vuonna 85";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"The Walt Disney Company Nordic";"Harri Ahokas";2013;2013-12-09
"142";"Aleksis Kiven elämä";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"143";"Back To The USSR - Takaisin Ryssiin";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"144";"Huhtikuu on kuukausist julmin";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"145";"Joulubileet";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"146";"Kalevala - Uusi aika";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"147";"Lasisydän";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"148";"Lipton Cocton In The Shadows Of Sodoma";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"149";"Muuttolinnun aika";2000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"150";"Natalia";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"151";"Niskavuori";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"152";"Näkemiin hyvästi";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"153";"Palkkasoturi";2000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"154";"TOTO";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"155";"Viimeiset rotannahat";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"VLMedia Oy";"Harri Ahokas";2013;2013-12-09
"156";"Ja saapuu oikea yö";3514;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Scanbox Entertainment Finland Oy";"Harri Ahokas";2013;2013-10-21
"157";"Rouva Presidentti";5564;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Scanbox Entertainment Finland Oy";"Harri Ahokas";2013;2013-10-21
"158";"Kaksi tarinaa rakkaudesta";3741;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-08-13
"159";"Robin";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-05-29
"160";"Sinivalkoinen valhe";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2013;2013-05-29
"161";"Alaska Highway";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2013;2013-05-29
"162";"Kuningas Litmanen";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"SF Film Finland Oy";"Harri Ahokas";2013;2013-05-29
"163";"Kovasikajuttu";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"The Walt Disney Company Nordic";"Harri Ahokas";2013;2013-05-29
"164";"Laveata tietä";500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2013;2013-05-29
"165";"Mustalaishurmaaja";500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Finnkino Oy";"Harri Ahokas";2013;2013-05-29
"166";"Imaginaerum";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-05-29
"167";"Kaappari";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-05-29
"168";"Puhdistus";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-05-29
"169";"Rakkauden rasvaprosentti";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-05-29
"170";"Vares - pimeyden tango";8000;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Nordisk Film Oy Ab";"Harri Ahokas";2013;2013-05-29
"171";"Ariel";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2013;2013-05-29
"172";"Boheemielämää";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2013;2013-05-29
"173";"Calamari Union";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2013;2013-05-29
"174";"Hamlet liikemaailmassa";2500;"Digitaalisen tallenteen markkinointi- ja levitystuki";"";"Oy Future Film Ab";"Harri Ahokas";2013;2013-05-29
