"";"elokuva";"katsojat";"vuosi";"levittaja";"enskari";"orignimi";"maa"
"472";"Total Recall";26549;"2012";"The Walt Disney Company Nordic";2012-08-31;"Total Recall";"USA"
"473";"Café de Flore";4937;"2012";"Atlantic Film Oy";2012-08-24;"Café de Flore";"RANSKA-KANADA"
"474";"Tie Pohjoiseen";265759;"2012";"FS Film Oy";2012-08-24;"Tie Pohjoiseen";"SUOMI"
"475";"Urhea";87600;"2012";"The Walt Disney Company Nordic";2012-08-24;"Brave";"USA"
"476";"Barbara";6261;"2012";"Future Film";2012-08-17;"Barbara";"SAKSA"
"477";"The Expendables 2";103075;"2012";"Future Film";2012-08-17;"The Expendables 2";"USA"
"478";"Katmandu - Taivaan peili";10921;"2012";"Cinema Mondo Oy";2012-08-10;"Katmandú, un espejo en el cielo";"ESPANJA"
"479";"Ted";122452;"2012";"Finnkino Oy";2012-08-10;"Ted";"USA"
"480";"Abraham Lincoln: Vampire hunter";16223;"2012";"FS Film Oy";2012-08-03;"Abraham Lincoln: Vampire hunter";"USA"
"481";"Madagascar 3";307033;"2012";"Finnkino Oy";2012-08-03;"Madagascar 3: Europe's Most Wanted";"USA"
"482";"Miss Farkku-Suomi";43520;"2012";"Nordisk Film Theatrical Distribution Oy";2012-08-03;"Miss Farkku-Suomi";"SUOMI"
"483";"Matkalla";16855;"2012";"Future Film";2012-07-27;"On The Road";"RANSKA-USA"
"484";"Terraferma";3930;"2012";"Cinema Mondo Oy";2012-07-27;"Terraferma";"ITALIA-RANSKA"
"485";"Woody Allen: A Documentary";808;"2012";"Scanbox Finland Oy";2012-07-27;"Woody Allen: A Documentary";"USA"
"486";"Piranha 3DD";1661;"2012";"Future Film";2012-07-20;"Piranha 3DD";"USA"
"487";"Yön Ritarin paluu";288996;"2012";"FS Film Oy";2012-07-20;"Dark Knight Rises";"USA"
"488";"Get the gringo";7039;"2012";"FS Film Oy";2012-07-13;"Get the gringo";"USA"
"489";"Ja saapuu oikea yö";8313;"2012";"Scanbox Finland Oy";2012-07-13;"Ja saapuu oikea yö";"SUOMI"
"490";"Mitä odottaa, kun odotat";25717;"2012";"Future Film";2012-07-13;"What to Expect When You´re Expecting";"USA"
"491";"Ranskalainen viikonloppu";13491;"2012";"Cinema Mondo Oy";2012-07-06;"Le Skylab";"RANSKA"
"492";"The Amazing Spider-Man";73838;"2012";"The Walt Disney Company Nordic";2012-07-06;"The Amazing Spider-Man";"USA"
"493";"Friends With Kids";5576;"2012";"Future Film";2012-06-29;"Friends With Kids";"USA"
"494";"Ice Age 4: Mannerten mullistus";316687;"2012";"FS Film Oy";2012-06-29;"Ice Age 4: Continental Drift";"USA"
"495";"Rock of ages";29929;"2012";"FS Film Oy";2012-06-29;"Rock of ages";"USA"
"496";"En gång i Phuket";519;"2012";"Nordisk Film Theatrical Distribution Oy";2012-06-26;"En gång i Phuket";"RUOTSI"
"497";"Soul-siskot";1409;"2012";"FS Film Oy";2012-06-22;"Joyful Noise";"USA"
"498";"LOL";21921;"2012";"Scanbox Finland Oy";2012-06-15;"LOL";"USA"
"499";"Lumikki ja metsästäjä";110589;"2012";"Finnkino Oy";2012-06-01;"Snow White and the Huntsman";"USA"
"500";"Prometheus";103229;"2012";"FS Film Oy";2012-06-01;"Prometheus";"USA"
"501";"Men In Black 3";82428;"2012";"The Walt Disney Company Nordic";2012-05-25;"Men In Black 3";"USA"
"502";"Rakkaudesta, unelmista ja kaloista";17598;"2012";"FS Film Oy";2012-05-25;"Salmon fishing in the Yemen";"ENGLANTI"
"503";"The Deep Blue Sea";6548;"2012";"Atlantic Film Oy";2012-05-18;"The Deep Blue Sea";"ENGLANTI"
"504";"Diktaattori";190162;"2012";"Finnkino Oy";2012-05-16;"The Dictator";"USA"
"505";"Anonyymit romantikot";3962;"2012";"Cinema Mondo Oy";2012-05-11;"Les émotifs anonymes";"RANSKA-BELGIA"
"506";"Dark Shadows";81273;"2012";"FS Film Oy";2012-05-11;"Dark Shadows";"USA"
"507";"Russian Libertine - Venäjän vapain mies";1416;"2012";"Atlantic Film Oy";2012-05-11;"Russian Libertine - Venäjän vapain mies";"SUOMI"
"508";"Kovasikajuttu";20055;"2012";"The Walt Disney Company Nordic";2012-05-04;"Kovasikajuttu";"SUOMI"
"509";"Stone’s War";3179;"2012";"Scanbox Finland Oy";2012-05-04;"War of the Dead";"USA"
"510";"The Raid: Redemption";2502;"2012";"Future Film";2012-05-04;"The Raid: Redemption";"INDONESIA-USA"
"511";"Koti eläintarhassa";20010;"2012";"FS Film Oy";2012-04-27;"We Bought a Zoo";"USA"
"512";"The Avengers";120312;"2012";"The Walt Disney Company Nordic";2012-04-27;"The Avengers";"USA"
"513";"Kilimanjaron lumet";19862;"2012";"Cinema Mondo Oy";2012-04-20;"Les neiges du Kilimandjaro";"RANSKA"
"514";"Poikani Kevin";18446;"2012";"FS Film Oy";2012-04-20;"We Need to Talk About Kevin";"USA"
"515";"Project X";28944;"2012";"FS Film Oy";2012-04-20;"Project X";"USA"
"516";"The Cabin in the Woods";18449;"2012";"Future Film";2012-04-20;"The Cabin in the Woods";"USA"
"517";"A Dangerous Method";18360;"2012";"Scanbox Finland Oy";2012-04-13;"A Dangerous Method";"ENGLANTI-KANADA"
"518";"Battleship";21279;"2012";"Finnkino Oy";2012-04-13;"Battleship";"USA"
"519";"Haywire";3453;"2012";"Nordisk Film Theatrical Distribution Oy";2012-04-13;"Haywire";"USA"
"520";"Äärimmäisen lujaa ja uskomattoman läheltä";7854;"2012";"FS Film Oy";2012-04-13;"Extremely Loud and Incredibly Close";"USA"
"521";"American Pie: Luokkakokous";123955;"2012";"Finnkino Oy";2012-04-06;"American Pie: Reunion";"USA"
"522";"Humiseva harju";9487;"2012";"Atlantic Film Oy";2012-04-06;"Wuthering Heights";"ENGLANTI"
"523";"Iron Sky";181359;"2012";"The Walt Disney Company Nordic";2012-04-06;"Iron Sky";"SUOMI"
"524";"Martha Marcy May Marlene";203;"2012";"FS Film Oy";2012-04-06;"Martha Marcy May Marlene";"USA"
"525";"Kerro kerro kuvastin";16429;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-30;"Mirror Mirror";"USA"
"526";"Lorax";69158;"2012";"Finnkino Oy";2012-03-30;"Dr. Seuss' The Lorax";"USA"
"527";"Nainen, jonka nimi on Nathalie";7596;"2012";"Future Film";2012-03-30;"La délicatesse";"RANSKA"
"528";"Pirates !";15667;"2012";"The Walt Disney Company Nordic";2012-03-30;"Pirates ! Band of Misfits";"ENGLANTI-USA"
"529";"Rouva Presidentti";22599;"2012";"Scanbox Finland Oy";2012-03-30;"Rouva Presidentti";"SUOMI"
"530";"Titaanien raivo";14981;"2012";"FS Film Oy";2012-03-30;"Wrath of the Titans";"USA"
"531";"Nälkäpeli";196506;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-23;"The Hunger Games";"USA"
"532";"Saunavieras";132;"2012";"Pirkanmaan Elokuvakeskus";2012-03-23;"Saunavieras";"SUOMI"
"533";"Taistelu Näsilinnasta";15083;"2012";"FS Film Oy";2012-03-23;"Taistelu Näsilinnasta";"SUOMI"
"534";"The Best Exotic Marigold Hotel";30758;"2012";"FS Film Oy";2012-03-23;"The Best Exotic Marigold Hotel";"USA"
"535";"Happy End";1440;"2012";"Cinema Mondo Oy";2012-03-16;"Happy End";"RUOTSI-TANSKA"
"536";"Salakuljettaja";6456;"2012";"Finnkino Oy";2012-03-16;"Contraband";"USA-ENGLANTI-RANSKA"
"537";"Vares - Uhkapelimerkki";54172;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-16;"Vares - Uhkapelimerkki";"SUOMI"
"538";"John Carter";32593;"2012";"The Walt Disney Company Nordic";2012-03-09;"John Carter";"USA"
"539";"Keinoja kaihtamatta";31647;"2012";"FS Film Oy";2012-03-09;"This Means War";"USA"
"540";"Kohta 18";37271;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-09;"Kohta 18";"SUOMI"
"541";"Nobelin testamentti";3329;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-09;"Nobels Testamente";"RUOTSI"
"542";"Paholainen sisälläni";5144;"2012";"Finnkino Oy";2012-03-09;"The Devil Inside";"USA"
"543";"Chronicle";10921;"2012";"FS Film Oy";2012-03-02;"Chronicle";"USA"
"544";"Kuudennen kerroksen naiset";4032;"2012";"Atlantic Film Oy";2012-03-02;"Les Femmes du 6ème étage";"RANSKA"
"545";"The Artist";30677;"2012";"Scanbox Finland Oy";2012-03-02;"The Artist";"RANSKA-BELGIA"
"546";"Tähtitaivas talon yllä";18159;"2012";"Nordisk Film Theatrical Distribution Oy";2012-03-02;"Tähtitaivas talon yllä";"SUOMI"
"547";"Kulman pojat";56629;"2012";"Nordisk Film Theatrical Distribution Oy";2012-02-24;"Kulman pojat";"SUOMI"
"548";"Nicostratos-pelikaani";1745;"2012";"Cinema Mondo Oy";2012-02-24;"Nicostratos le pélican";"RANSKA"
"549";"Pappi lukkari talonpoika vakooja";29429;"2012";"FS Film Oy";2012-02-24;"Tinker Tailor Soldier Spy";"ENGLANTI"
"550";"Sotahevonen";10831;"2012";"The Walt Disney Company Nordic";2012-02-24;"War Horse";"USA"
"551";"The Grey - suden hetki";5712;"2012";"Future Film";2012-02-22;"The Grey";"USA"
"552";"Hugo";30136;"2012";"Finnkino Oy";2012-02-17;"Hugo";"USA"
"553";"Härmä";146455;"2012";"Finnkino Oy";2012-02-17;"Härmä";"SUOMI"
"554";"Matka 2: Salainen saari";18710;"2012";"FS Film Oy";2012-02-17;"Journey 2: The Mysterious Island";"USA"
"555";"Turvatalo";9949;"2012";"Finnkino Oy";2012-02-17;"Safe House";"USA"
"556";"Carnage";10964;"2012";"Future Film";2012-02-10;"Carnage";"RANSKA-SAKSA"
"557";"Hamilton : kansakunnan puolesta";6898;"2012";"The Walt Disney Company Nordic";2012-02-10;"Hamilton: I Nationens Intresse";"RUOTSI"
"558";"Reunalla";4547;"2012";"Nordisk Film Theatrical Distribution Oy";2012-02-10;"Man on a Ledge";"USA"
"559";"Risto Räppääjä ja Viileä Venla";309939;"2012";"Nordisk Film Theatrical Distribution Oy";2012-02-10;"Risto Räppääjä ja Viileä Venla";"SUOMI"
"560";"Alistuminen";6;"2012";"Kinoscreen Illusion";2012-02-03;"Underkastelsen";"RUOTSI"
"561";"Mission: Impossible - Ghost Protocol";175976;"2012";"Finnkino Oy";2012-02-03;"Mission: Impossible - Ghost Protocol";"USA"
"562";"The Descendants";43459;"2012";"FS Film Oy";2012-02-03;"The Descendants";"USA"
"563";"Vuosaari";95867;"2012";"The Walt Disney Company Nordic";2012-02-03;"Vuosaari";"SUOMI"
"564";"Hulluna Saraan";31263;"2012";"Nordisk Film Theatrical Distribution Oy";2012-01-27;"Hulluna Saraan";"SUOMI"
"565";"Rautarouva";97578;"2012";"Scanbox Finland Oy";2012-01-27;"The Iron Lady";"ENGLANTI-RANSKA"
"566";"Saapasjalkakissa";166190;"2012";"Finnkino Oy";2012-01-27;"Puss in Boots";"USA"
"567";"Säilöttyjä unelmia";5945;"2012";"FS Film Oy";2012-01-27;"Säilöttyjä unelmia";"SUOMI"
"568";"Rat King";6878;"2012";"Future Film";2012-01-20;"Rat King";"SUOMI"
"569";"Vallan kääntöpuoli";7931;"2012";"FS Film Oy";2012-01-20;"The Ides of March";"USA"
"570";"Viiden päivän sota";1509;"2012";"Atlantic Film Oy";2012-01-20;"5 Days of War";"USA"
"571";"Kaivontekijän tytär";640;"2012";"Future Film";2012-01-13;"La Fille du puisatier";"RANSKA"
"572";"Punaisen metsän hotelli";1385;"2012";"Pirkanmaan Elokuvakeskus";2012-01-13;"Punaisen metsän hotelli";"SUOMI"
"573";"Shame";11561;"2012";"Cinema Mondo Oy";2012-01-13;"Shame";"ENGLANTI"
"574";"Tropa de Elite 2 - Eliittijoukot";2586;"2012";"Atlantic Film Oy";2012-01-13;"Tropa de Elite 2 - O Inimigo Agora É Outro";"BRASILIA"
"575";"Delfiinitarina";3321;"2012";"FS Film Oy";2012-01-06;"Dolphin Tale";"USA"
"576";"J. Edgar";19504;"2012";"FS Film Oy";2012-01-06;"J. Edgar";"USA"
"577";"This Must Be The Place";1683;"2012";"Future Film";2012-01-06;"This Must Be The Place";"IRLANTI"
"578";"Vares - Kaidan tien kulkijat";95166;"2012";"Nordisk Film Theatrical Distribution Oy";2012-01-06;"Vares - Kaidan tien kulkijat";"SUOMI"
"579";"My Week with Marilyn";24944;"2011";"Scanbox Finland Oy";2011-12-30;"My Week with Marilyn";"ENGLANTI-USA"
"580";"The Darkest Hour";3469;"2011";"FS Film Oy";2011-12-30;"The Darkest Hour";"USA"
"581";"Varasto";199533;"2011";"Nordisk Film Theatrical Distribution Oy";2011-12-30;"Varasto";"SUOMI"
"582";"50/50";3378;"2011";"Future Film";2011-12-30;"50/50";"USA"
"583";"Herra Heinämäki ja Leijonatuuliviiri";45491;"2011";"The Walt Disney Company Nordic";2011-12-23;"Herra Heinämäki ja Leijonatuuliviiri";"SUOMI"
"584";"Sherlock Holmes: A game of Shadows";163449;"2011";"FS Film Oy";2011-12-23;"Sherlock Holmes: A game of Shadows";"USA"
"585";"Täältä tulee Myyrä";4760;"2011";"Future Film";2011-12-23;"Krtek";"TSEKINMAA"
"586";"Alvin ja pikkuoravat 3";78051;"2011";"FS Film Oy";2011-12-16;"Alvin and the Chipmunks: Chip-Wrecked";"USA"
"587";"Avain Italiaan";10665;"2011";"Nordisk Film Theatrical Distribution Oy";2011-12-16;"Avain Italiaan";"SUOMI-USA-ITALIA"
"588";"Hysteria";15064;"2011";"Scanbox Finland Oy";2011-12-16;"Hysteria";"USA"
"589";"Superclásico";4833;"2011";"Bio Rex Cinemas";2011-12-16;"Superclásico";"TANSKA"
"590";"Attack The Block";1592;"2011";"Atlantic Film Oy";2011-12-09;"Attack The Block";"ENGLANTI"
"591";"Hiljaisuus";32552;"2011";"The Walt Disney Company Nordic";2011-12-09;"Hiljaisuus";"SUOMI"
"592";"New Year´s Eve";68651;"2011";"FS Film Oy";2011-12-09;"New Year´s Eve";"USA"
"593";"Trespass";3601;"2011";"Future Film";2011-12-09;"Trespass";"USA"
"594";"George Harrison - Living in the Material World";185;"2011";"Nordisk Film Theatrical Distribution Oy";2011-12-04;"George Harrison - Living in the Material World";"USA"
"595";"Happy Feet 2";30793;"2011";"FS Film Oy";2011-12-02;"Happy Feet 2";"USA"
"596";"Moneyball";5841;"2011";"The Walt Disney Company Nordic";2011-12-02;"Moneyball";"USA"
"597";"Real Steel";16621;"2011";"The Walt Disney Company Nordic";2011-12-02;"Real Steel";"USA"
"598";"Artturi Joulu";22269;"2011";"The Walt Disney Company Nordic";2011-11-25;"Arthur Christmas";"USA"
"599";"In Time";40020;"2011";"FS Film Oy";2011-11-25;"In Time";"USA"
"600";"Poliss";2409;"2011";"Cinema Mondo Oy";2011-11-25;"Poliss";"RANSKA"
"601";"Risto";14307;"2011";"Scanbox Finland Oy";2011-11-25;"Risto";"SUOMI"
"602";"Tower Heist";42874;"2011";"Finnkino Oy";2011-11-25;"Tower Heist";"USA"
"603";"The Girl With The Dragon Tattoo";66663;"2011";"The Walt Disney Company Nordic";2011-11-23;"The Girl With The Dragon Tattoo";"USA"
"604";"Maaginen kristalli";16865;"2011";"Future Film";2011-11-18;"Maaginen kristalli";"SUOMI-BELGIA"
"605";"Nader ja Simin: ero";12289;"2011";"Cinema Mondo Oy";2011-11-18;"Jodaeiye Nader az Simin";"IRAN"
"606";"The Thing";8004;"2011";"Finnkino Oy";2011-11-18;"The Thing";"USA"
"607";"Twilight Saga: Aamunkoi osa 1";194260;"2011";"Nordisk Film Theatrical Distribution Oy";2011-11-18;"The Twilight Saga: Breaking Dawn - Part 1";"USA"
"608";"Hiljaa toivotut";1062;"2011";"SUOMEN Elokuvakontakti R";2011-11-11;"Hiljaa toivotut";"SUOMI"
"609";"Ikuisesti sinun";4977;"2011";"Pirkanmaan Elokuvakeskus";2011-11-11;"Ikuisesti sinun";"SUOMI"
"610";"Immortals";23431;"2011";"Nordisk Film Theatrical Distribution Oy";2011-11-11;"Immortals";"USA"
"611";"Pedon jäljillä";8000;"2011";"FS Film Oy";2011-11-11;"Jägarna 2";"RUOTSI"
"612";"Kate Reddy - Täydellä teholla yötä päivää";10286;"2011";"Future Film";2011-11-04;"I Don't Know How She Does It";"USA"
"613";"Neds";2366;"2011";"Cinema Mondo Oy";2011-11-04;"Neds";"ENGLANTI"
"614";"Paranormal Activity 3";34292;"2011";"Finnkino Oy";2011-11-04;"Paranormal Activity 3";"USA"
"615";"Tintin seikkailut: Yksisarvisen salaisuus";143460;"2011";"The Walt Disney Company Nordic";2011-11-04;"The Adventures of Tintin: The Secret of the Un";"USA"
"616";"Där vi en gång gått";46219;"2011";"Scanbox Finland Oy";2011-10-28;"Där vi en gång gått";"SUOMI"
"617";"Footloose";4484;"2011";"Finnkino Oy";2011-10-28;"Footloose";"USA"
"618";"Kätkijät";29784;"2011";"Cinema Mondo Oy";2011-10-28;"Kari-gurashi no Arietti";"JAPANI"
"619";"Pieniä valkoisia valheita";2682;"2011";"Atlantic Film Oy";2011-10-28;"Les Petits mouchoirs";"RANSKA"
"620";"Sinun numerosi? - Kuinka monta on liian pajon?";14049;"2011";"FS Film Oy";2011-10-28;"What's Your Number";"USA"
"621";"Kolme Muskettisoturia 3D";31583;"2011";"FS Film Oy";2011-10-21;"The Three Musketeers 3D";"USA-ENGLANTI-RANSKA"
"622";"Kotirauha";38226;"2011";"Nordisk Film Theatrical Distribution Oy";2011-10-21;"Kotirauha";"SUOMI"
"623";"Tartunta";35191;"2011";"FS Film Oy";2011-10-21;"Contagion";"USA"
"624";"The Guard";2386;"2011";"Scanbox Finland Oy";2011-10-21;"The Guard";"IRLANTI"
"625";"Elias ja Aarrejahti";2872;"2011";"FS Film Oy";2011-10-14;"Elias og jakten på havets gull";"NORJA"
"626";"Iho jossa elän";31236;"2011";"Future Film";2011-10-14;"La Piel que habito";"ESPANJA"
"627";"Johnny English - Uudestisyntynyt";279283;"2011";"Finnkino Oy";2011-10-14;"Johnny English Reborn";"ENGLANTI"
"628";"One Day";16547;"2011";"FS Film Oy";2011-10-14;"One Day";"USA"
"629";"Siepattu";7901;"2011";"Nordisk Film Theatrical Distribution Oy";2011-10-14;"Abduction";"USA"
"630";"Drive";36127;"2011";"FS Film Oy";2011-10-07;"Drive";"USA"
"631";"Kuka, ellemme me?";973;"2011";"Atlantic Film Oy";2011-10-07;"Wer wenn nicht wir?";"SAKSA"
"632";"Piiat";33233;"2011";"The Walt Disney Company Nordic";2011-10-07;"The Help";"USA"
"633";"Syvälle salattu";32039;"2011";"Nordisk Film Theatrical Distribution Oy";2011-10-07;"Syvälle salattu";"SUOMI"
"634";"Headhunters";9854;"2011";"Nordisk Film Theatrical Distribution Oy";2011-09-30;"Hodejegerne";"NORJA"
"635";"Matka Edeniin";1067;"2011";"Pirkanmaan Elokuvakeskus";2011-09-30;"Matka Edeniin";"SUOMI"
"636";"Sade kuuluu meille";6233;"2011";"Cinema Mondo Oy";2011-09-30;"También la lluvia";"ESPANJA"
"637";"Vain seksiä";40115;"2011";"The Walt Disney Company Nordic";2011-09-30;"Friends with Benefits";"USA"
"638";"Likainen Pommi";7302;"2011";"FS Film Oy";2011-09-23;"Likainen Pommi";"SUOMI"
"639";"Nalle Puhin elokuva - uudet seikkailut";66240;"2011";"The Walt Disney Company Nordic";2011-09-23;"Winnie the Pooh";"USA"
"640";"Pina";10952;"2011";"Bio Rex Cinemas";2011-09-23;"Pina";"SAKSA-RANSKA"
"641";"The Change-Up";20522;"2011";"Finnkino Oy";2011-09-23;"The Change-Up";"USA"
"642";"Älä pelkää pimeää";5512;"2011";"Future Film";2011-09-23;"Don't Be Afraid of the Dark";"USA"
"643";"Apinatytöt";1848;"2011";"Kinoscreen Illusion";2011-09-19;"Apflickorna";"RUOTSI"
"644";"Ella & Aleksi - Yllätyssynttärit";9481;"2011";"Nordisk Film Theatrical Distribution Oy";2011-09-16;"Ella & Aleksi - Yllätyssynttärit";"SUOMI"
"645";"Final Destination 5";5846;"2011";"FS Film Oy";2011-09-16;"Final Destination 5";"USA"
"646";"Zookeeper";4434;"2011";"The Walt Disney Company Nordic";2011-09-16;"Zookeeper";"USA"
"647";"Colombiana";9506;"2011";"Scanbox Finland Oy";2011-09-09;"Colombiana";"USA"
"648";"Cowboys & Aliens";23389;"2011";"Finnkino Oy";2011-09-09;"Cowboys & Aliens";"USA"
"649";"Hölmö, Hullu, Rakkaus";32885;"2011";"FS Film Oy";2011-09-09;"Crazy, Stupid, Love.";"USA"
"650";"Le Havre";129219;"2011";"Future Film";2011-09-09;"Le Havre";"SUOMI-RANSKA-SAKSA"
"651";"Sairaan onnellinen";2191;"2011";"Bio Rex Cinemas";2011-09-09;"Sykt lykkelig";"NORJA"
"652";"Illusionisti";3373;"2011";"Atlantic Film Oy";2011-09-02;"L'Illusionniste";"RANSKA-ENGLANTI"
"653";"Kolme";575;"2011";"Future Film";2011-09-02;"Drei";"SAKSA"
"654";"Pussikaljaelokuva";79994;"2011";"Nordisk Film Theatrical Distribution Oy";2011-09-02;"Pussikaljaelokuva";"SUOMI"
"655";"Smurffit";144465;"2011";"The Walt Disney Company Nordic";2011-09-02;"The Smurfs";"USA"
"656";"Win Win";2786;"2011";"FS Film Oy";2011-09-02;"Win Win";"USA"
"657";"Conan the Barbarian";12564;"2011";"Future Film";2011-08-26;"Conan the Barbarian";"USA"
"658";"Iris";16810;"2011";"Sandrew Metronome Dist.";2011-08-26;"Iris";"SUOMI"
"659";"Larry Crowne - Uusi Mahdollisuus";8301;"2011";"FS Film Oy";2011-08-26;"Larry Crowne - Uusi Mahdollisuus";"USA"
"660";"Midnight In Paris";62027;"2011";"Scanbox Finland Oy";2011-08-26;"Midnight In Paris";"USA"
"661";"The Tree Of Life";25593;"2011";"FS Film Oy";2011-08-26;"The Tree Of Life";"USA"
"662";"Captain America: First Avenger";25160;"2011";"Finnkino Oy";2011-08-19;"Captain America: First Avenger";"USA"
"663";"Elämä ennen kaikkea";3964;"2011";"Atlantic Film Oy";2011-08-19;"Life, Above All";"ETELÄ-AFRIKKA"
"664";"Kaameat Pomot";42417;"2011";"FS Film Oy";2011-08-19;"Horrible Bosses";"USA"
"665";"Apinoiden Planeetan Synty";66561;"2011";"FS Film Oy";2011-08-12;"Rise of the Planet of the Apes";"USA"
"666";"Autot 2";253662;"2011";"The Walt Disney Company Nordic";2011-08-12;"Cars 2";"USA"
"667";"Mama Africa";8702;"2011";"FS Film Oy";2011-08-12;"Mama Africa";"SAKSA-SUOMI"
"668";"Green Lantern";14042;"2011";"FS Film Oy";2011-08-05;"Green Lantern";"USA"
"669";"Trust";632;"2011";"Future Film";2011-08-05;"Trust";"USA"
"670";"Vares - Sukkanauhakäärme";88891;"2011";"Nordisk Film Theatrical Distribution Oy";2011-08-05;"Vares - Sukkanauhakäärme";"SUOMI"
"671";"Herra Popper ja Pingviinit";42671;"2011";"FS Film Oy";2011-07-29;"Mr. Popper's Penguins";"USA"
"672";"Roskisprinssi";27759;"2011";"The Walt Disney Company Nordic";2011-07-29;"Roskisprinssi";"SUOMI"
"673";"Super 8";21994;"2011";"Finnkino Oy";2011-07-29;"Super 8";"USA"
"674";"Merelle";4826;"2011";"Cinema Mondo Oy";2011-07-22;"Alamar";"MEKSIKO"
"675";"Morsiusneidot";54893;"2011";"Finnkino Oy";2011-07-22;"Bridesmaids";"USA"
"676";"Viimeinen sirkus";3216;"2011";"Future Film";2011-07-15;"Balada triste de trompeta";"ESPANJA-RANSKA"
"677";"Harry Potter ja kuoleman varjelukset, osa 2";386520;"2011";"FS Film Oy";2011-07-13;"Harry Potter and the Deathly Hallows: Part 2";"ENGLANTI-USA"
"678";"Norwegian Wood";8219;"2011";"Cinema Mondo Oy";2011-07-08;"Noruwei no mori";"JAPANI"
"679";"Tapaus Punahilkka 2";1748;"2011";"Future Film";2011-07-08;"Hoodwinked Too! Hood VS. Evil";"USA"
"680";"Potiche - Aivovaimo";5737;"2011";"Scanbox Finland Oy";2011-07-01;"Potiche";"RANSKA"
"681";"Savannijengi";14774;"2011";"FS Film Oy";2011-07-01;"Konferenz der Tiere";"SAKSA"
"682";"Transformers 3: Kuun pimeä puoli";92546;"2011";"Finnkino Oy";2011-06-29;"Transformers 3: Dark of the Moon";"USA"
"683";"Bad Teacher";80663;"2011";"The Walt Disney Company Nordic";2011-06-24;"Bad Teacher";"USA"
"684";"The Resident";3906;"2011";"Nordisk Film Theatrical Distribution Oy";2011-06-24;"The Resident";"USA"
"685";"Heartbreaker";11855;"2011";"Atlantic Film Oy";2011-06-17;"L'Arnacoeur";"USA"
"686";"Klovni - Kyllä nolottaa";11201;"2011";"Bio Rex Cinemas";2011-06-17;"Klovn: The Movie";"TANSKA"
"687";"Unknown";8484;"2011";"FS Film Oy";2011-06-17;"Unknown";"ENGLANTI-SAKSA"
"688";"Kung Fu Panda 2";130313;"2011";"Finnkino Oy";2011-06-10;"Kung Fu Panda 2";"USA"
"689";"Paul";10000;"2011";"Finnkino Oy";2011-06-10;"Paul";"USA"
"690";"Priest";8384;"2011";"The Walt Disney Company Nordic";2011-06-10;"Priest";"USA"
"691";"Rakkaus Lainassa";14552;"2011";"FS Film Oy";2011-06-10;"Something Borrowed";"USA"
"692";"Hanna";12164;"2011";"The Walt Disney Company Nordic";2011-06-03;"Hanna";"USA"
"693";"Melancholia";21479;"2011";"Nordisk Film Theatrical Distribution Oy";2011-06-03;"Melancholia";"TANSKA-RUOTSI"
"694";"X-Men: First Class";34972;"2011";"FS Film Oy";2011-06-03;"X-Men: First Class";"USA"
"695";"Kauhea Kankkunen 2";146346;"2011";"FS Film Oy";2011-05-27;"The Hangover Part II";"USA"
"696";"Tamara Drewe";5374;"2011";"Future Film";2011-05-27;"Tamara Drewe";"ENGLANTI"
"697";"Majava";1100;"2011";"Nordisk Film Theatrical Distribution Oy";2011-05-20;"The Beaver";"USA"
"698";"Pirates Of The Caribbean: vierailla vesillä";359463;"2011";"The Walt Disney Company Nordic";2011-05-18;"Pirates of the Caribbean: On Stranger Tides";"USA"
"699";"Hall Pass - Lupa Rellestää";7617;"2011";"FS Film Oy";2011-05-13;"Hall Pass";"USA"
"700";"Source Code";16355;"2011";"Sandrew Metronome Dist.";2011-05-13;"Source Code";"USA"
"701";"Ole Luonani Aina";8004;"2011";"FS Film Oy";2011-05-06;"Never Let Me Go";"ENGLANTI-USA"
"702";"Fast & Furious 5";91977;"2011";"Finnkino Oy";2011-05-04;"Fast Five";"USA"
"703";"Thor";31352;"2011";"Finnkino Oy";2011-05-04;"Thor";"USA"
"704";"Miral";2346;"2011";"Scanbox Finland Oy";2011-04-29;"Miral";"RANSKA"
"705";"Oikeuden palvelija";8436;"2011";"Future Film";2011-04-29;"The Lincoln Lawyer";"USA"
"706";"Pikku kummitus Lapanen ja setä Riukuliini";7163;"2011";"Nordisk Film Theatrical Distribution Oy";2011-04-29;"Var inte rädd, Långa Farbrorn";"RUOTSI"
"707";"Päiväni Margueritten kanssa";12175;"2011";"Atlantic Film Oy";2011-04-29;"La Tête en friche";"RANSKA"
"708";"Taistelu Turusta";1692;"2011";"Pirkanmaan Elokuvakeskus";2011-04-29;"Taistelu Turusta";"SUOMI"
"709";"Hop";19052;"2011";"Finnkino Oy";2011-04-22;"Hop";"USA"
"710";"Vares - Huhtikuun tytöt";78739;"2011";"Nordisk Film Theatrical Distribution Oy";2011-04-22;"Vares - Huhtikuun tytöt";"SUOMI"
"711";"Vettä Elefanteille";36588;"2011";"FS Film Oy";2011-04-22;"Water for Elephants";"USA"
"712";"Rio";154118;"2011";"FS Film Oy";2011-04-15;"Rio";"USA"
